BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,Generator Fuel Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__PJERE000,2__PJERE000,Hudson Energy Supply UK Ltd,AMPERE,G,,PJERE000,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-9,0.5182,0.5612,0.25,-4.664,-5.051,0,0,F,T,F,,29/01/19,,F
2__PKENS000,2__PKENS000,Kensington Power Limited,KENSINGT,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-0.6,0.5214,0.3786,0.25,-0.313,-0.227,0,0,F,T,F,,01/12/18,,F
2__PLIGH000,2__PLIGH000,MVV Environment Services Ltd,LIGHTNIN,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,9.02,-2.5,0.4634,0.4488,0.25,-1.159,-1.122,4.18,4.048,F,T,F,,01/12/18,,F
2__PLILY000,2__PLILY000,Delta Gas And Power Ltd,LILY,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PLIME000,2__PLIME000,Limejump Energy Limited,ANGEL,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PLOND000,Default LOND BMU for _P,EDF Energy Customers Ltd,LENCO,G,,NSC-LON01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-210,0.6055,0.4803,0.25,-127.155,-100.863,0,0,F,T,T,,01/12/18,,F
2__PLORM000,Lorimer_P,E (GAS AND ELECTRICITY) LTD,LORM,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-3.8,0.3858,0.4156,0.25,-1.466,-1.579,0,0,F,T,F,,01/12/18,,F
2__PLUME000,2__PLUME000,GNERGY Limited,LUMA,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PLUMO000,2__PLUMO000,OVO Electricity Ltd,OVOE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PLVDR000,2__PLVDR000,ESB ENERGY LTD,LAVENDER,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-0.048,0.3278,0.3556,0.25,-0.016,-0.017,0,0,F,T,F,,01/12/18,,F
2__PMAEL000,2__PMAEL000,MA Energy Limited,MA200308,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-0.2,0.5688,0.4351,0.25,-0.114,-0.087,0,0,F,T,F,,01/12/18,,F
2__PMAET000,MA Energy Ltd,MA Energy Limited,MA200308,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PMAGN000,2__PMAGN000,Orsted Power Sales (UK) Ltd,MAGNETIC,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-16,0.6045,0.4731,0.25,-9.672,-7.57,0,0,F,T,F,,01/12/18,,F
2__PMAIN000,MAIN_P,e2m - energy trading ltd,MAIN,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PMANW000,2__PMANW000,SP Energy Retail Ltd,SPSUP01,G,,NSC-MNW01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-1,0.4588,0.3294,0.25,-0.459,-0.329,0,0,F,T,T,,01/12/18,,F
2__PMARB000,2__PMARB000,Marble Power Limited,MARBLE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,46,0,0.1152,0.106,0.25,0,0,11.5,11.5,F,T,F,,01/12/18,,F
2__PMARI000,2__PMARI000,LOGICOR ENERGY LTD,MARIGOLD,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PMATT000,MATT_P,Mattina Limited,MATT,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PMIDE000,NPEC Scottish Hydro Area MIDE,Npower Limited,NPOWER01,G,,NSC-MID01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-1.946,0.5431,0.5859,0.25,-1.057,-1.14,0,0,F,T,T,,01/12/18,,F
2__PMINT000,2__PMINT000,Toucan Energy Limited,MINT,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PMISS000,MISS_P,MISSISSIPPI ENERGY LIMITED,MISS,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PMONT000,2__PMONT000,Monument Energy Limited,MONUMENT,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-0.8,0.4426,0.4695,0.25,-0.354,-0.376,0,0,F,T,F,,01/12/18,,F
